Start Time (UTCG),Stop Time (UTCG),Duration (sec)
2016/03/15 00:00:00,2016/03/15 00:52:20,3140
2016/03/15 01:28:22,2016/03/15 02:24:06,3344
2016/03/15 03:00:07,2016/03/15 03:55:51,3344
2016/03/15 04:31:52,2016/03/15 05:27:37,3345
2016/03/15 06:03:36,2016/03/15 06:59:22,3346
2016/03/15 07:35:21,2016/03/15 08:31:08,3347
2016/03/15 09:07:06,2016/03/15 10:02:53,3347
2016/03/15 10:38:51,2016/03/15 11:34:39,3348
2016/03/15 12:10:35,2016/03/15 13:06:24,3349
2016/03/15 13:42:20,2016/03/15 14:38:10,3350
2016/03/15 15:14:05,2016/03/15 16:09:56,3351
2016/03/15 16:45:50,2016/03/15 17:41:41,3351
2016/03/15 18:17:34,2016/03/15 19:13:27,3353
2016/03/15 19:49:19,2016/03/15 20:45:12,3353
2016/03/15 21:21:04,2016/03/15 22:16:58,3354
2016/03/15 22:52:48,2016/03/15 23:48:43,3355
2016/03/16 00:24:33,2016/03/16 01:20:29,3356
2016/03/16 01:56:17,2016/03/16 02:52:15,3358
2016/03/16 03:28:02,2016/03/16 04:24:00,3358
2016/03/16 04:59:46,2016/03/16 05:55:46,3360
2016/03/16 06:31:31,2016/03/16 07:27:31,3360
2016/03/16 08:03:16,2016/03/16 08:59:17,3361
2016/03/16 09:35:00,2016/03/16 10:31:03,3363
2016/03/16 11:06:45,2016/03/16 12:02:48,3363
2016/03/16 12:38:29,2016/03/16 13:34:34,3365
2016/03/16 14:10:13,2016/03/16 15:06:19,3366
2016/03/16 15:41:58,2016/03/16 16:38:05,3367
2016/03/16 17:13:42,2016/03/16 18:09:51,3369
2016/03/16 18:45:27,2016/03/16 19:41:36,3369
2016/03/16 20:17:11,2016/03/16 21:13:22,3371
2016/03/16 21:48:56,2016/03/16 22:45:08,3372
2016/03/16 23:20:40,2016/03/17 00:16:53,3373
2016/03/17 00:52:24,2016/03/17 01:48:39,3375
2016/03/17 02:24:09,2016/03/17 03:20:25,3376
2016/03/17 03:55:53,2016/03/17 04:52:10,3377
2016/03/17 05:27:37,2016/03/17 06:23:56,3379
2016/03/17 06:59:22,2016/03/17 07:55:42,3380
2016/03/17 08:31:06,2016/03/17 09:27:27,3381
2016/03/17 10:02:50,2016/03/17 10:59:13,3383
2016/03/17 11:34:34,2016/03/17 12:30:59,3385
2016/03/17 13:06:19,2016/03/17 14:02:45,3386
2016/03/17 14:38:03,2016/03/17 15:34:30,3387
2016/03/17 16:09:47,2016/03/17 17:06:16,3389
2016/03/17 17:41:32,2016/03/17 18:38:02,3390
2016/03/17 19:13:16,2016/03/17 20:09:48,3392
2016/03/17 20:45:00,2016/03/17 21:41:33,3393
2016/03/17 22:16:44,2016/03/17 23:13:19,3395
2016/03/17 23:48:28,2016/03/18 00:45:05,3397
2016/03/18 01:20:13,2016/03/18 02:16:51,3398
2016/03/18 02:51:57,2016/03/18 03:48:37,3400
2016/03/18 04:23:41,2016/03/18 05:20:23,3402
2016/03/18 05:55:25,2016/03/18 06:52:09,3404
2016/03/18 07:27:09,2016/03/18 08:23:54,3405
2016/03/18 08:58:53,2016/03/18 09:55:40,3407
2016/03/18 10:30:38,2016/03/18 11:27:26,3408
2016/03/18 12:02:22,2016/03/18 12:59:12,3410
2016/03/18 13:34:06,2016/03/18 14:30:58,3412
2016/03/18 15:05:50,2016/03/18 16:02:44,3414
2016/03/18 16:37:34,2016/03/18 17:34:30,3416
2016/03/18 18:09:18,2016/03/18 19:06:16,3418
2016/03/18 19:41:02,2016/03/18 20:38:02,3420
